BookingID,roomCount,type,BookingPrice,numberOfBookedNights,numberOfReviews,hasFreeCancellation,cancelled
66,1,HOTEL,98,2,42,0,1
67,2,HOTEL,91,2,35,0,0
68,1,SUITE,118,4,22,1,1
69,1,HOTEL_RESORT,107,1,35,0,1
70,2,HOTEL,98,6,30,1,0
71,1,HOTEL,100,1,30,0,0
72,1,HOTEL,94,1,47,1,0
73,1,HOTEL,90,1,132,1,0
74,1,HOTEL,108,2,34,0,1
75,1,HOTEL,96,7,34,0,0
76,1,HOTEL,90,1,39,1,1
77,1,HOTEL,104,1,166,0,0
78,1,HOTEL,105,5,96,0,0
79,1,HOTEL,90,1,25,0,0
80,1,HOTEL,111,5,103,0,1
81,1,HOTEL,111,1,27,0,0
82,1,HOTEL,93,1,137,0,0
83,1,HOTEL,103,10,30,0,0
84,2,HOTEL,137,2,161,1,1
85,1,HOTEL,100,2,25,1,1
86,1,HOTEL,91,1,183,1,0
87,1,HOTEL,97,2,47,1,0
88,1,HOTEL,93,3,79,0,0
89,1,UNKNOWN,91,3,25,0,0
90,1,HOTEL,100,1,30,0,1
91,1,HOTEL,101,3,220,0,1
92,4,HOTEL,156,4,34,0,0
93,1,HOTEL,126,3,25,0,1
94,1,HOTEL,112,4,45,1,1
95,1,UNKNOWN,91,1,22,0,0
96,1,HOTEL,94,1,34,1,0
97,1,HOTEL,103,48,62,0,0
98,2,UNKNOWN,118,5,50,0,0
99,1,HOTEL,91,2,56,0,1
100,1,HOTEL,91,2,132,1,0
101,2,HOTEL,96,2,47,0,0
102,3,HOTEL,116,7,22,0,1
103,1,HOTEL,91,4,108,1,0
104,1,HOTEL,96,1,22,1,0
105,1,HOTEL,114,1,22,0,0
106,1,HOTEL,123,3,146,0,0
107,1,HOTEL,179,6,22,0,1
108,1,HOTEL,104,3,30,0,0
109,1,HOTEL,93,3,30,1,0
110,1,HOTEL,94,1,68,0,1
111,1,HOTEL,96,1,27,0,0
112,2,HOTEL,101,1,66,0,0
113,1,HOTEL,116,7,62,0,0
114,1,HOTEL,130,3,30,0,0
115,2,HOTEL,100,3,25,0,0
116,1,APARTMENT,97,1,25,0,0
117,1,HOTEL,98,10,25,0,0
118,1,HOTEL,202,3,22,0,0
119,1,HOTEL,98,1,34,0,0
120,1,HOTEL,97,1,35,1,1
121,1,HOTEL_RESORT,130,4,50,0,0
122,1,HOTEL,96,1,25,1,1
123,1,HOTEL,96,1,161,1,1
124,1,HOTEL,96,2,22,0,1
125,1,HOTEL,112,4,59,0,0
126,1,HOTEL_RESORT,115,1,113,0,0
127,1,UNKNOWN,125,1,27,1,0
128,1,HOTEL,93,1,34,0,0
129,1,VILLA,130,2,27,0,0
130,1,HOTEL,96,3,71,1,0
131,1,HOTEL,125,5,151,0,1
132,1,HOTEL,91,1,47,1,1
133,1,HOTEL,93,2,34,0,0
134,1,HOTEL,96,1,45,0,0
135,2,HOTEL,107,2,35,0,0
136,1,HOTEL,93,1,166,0,1
137,1,SUITE,98,2,39,0,1
138,2,HOTEL,94,1,35,0,0
139,1,SUITE,108,2,47,1,1
140,1,HOTEL,94,1,22,0,0
141,1,HOTEL,141,4,42,0,1
142,1,HOTEL,93,2,22,0,0
143,1,HOTEL,94,1,45,0,1
144,2,HOTEL,166,4,45,0,0
145,1,HOTEL,90,1,68,1,0
146,1,HOTEL,96,1,25,0,1
147,1,HOTEL,91,3,56,0,0
148,1,HOTEL,93,1,103,1,0
149,1,HOTEL,104,3,25,0,1
150,1,HOTEL,111,1,35,0,0
151,3,HOTEL,112,2,84,0,0
152,1,SUITE,98,1,25,0,0
153,1,HOTEL,101,7,22,0,0
154,1,HOTEL,174,10,161,1,1
155,1,HOTEL,103,1,54,1,0
156,1,HOTEL,96,1,100,0,1
157,3,HOTEL,91,1,42,1,1
158,2,HOTEL,96,3,183,1,0
159,1,HOTEL,112,4,30,0,0
160,1,HOTEL,100,1,151,0,1
161,1,HOTEL,96,1,35,0,1
162,1,APART_HOTEL,96,3,22,0,0
163,2,HOTEL,91,1,108,0,0
164,1,HOTEL,116,3,42,0,0
165,1,HOTEL,91,3,27,0,0
166,5,HOTEL,107,2,34,1,1
167,1,HOTEL,91,1,25,0,0
168,2,UNKNOWN,112,2,39,0,1
169,2,HOTEL,96,1,22,0,0
170,2,HOTEL,93,1,35,1,1
171,1,SUITE,116,3,27,1,1
172,1,HOTEL,97,2,74,0,0
173,1,HOTEL,101,2,204,0,0
174,1,HOTEL,96,1,124,0,0
175,1,HOTEL,98,2,22,0,1
176,1,UNKNOWN,94,2,30,1,0
177,1,HOTEL_RESORT,140,3,178,1,1
178,1,HOTEL,91,1,27,0,0
179,3,HOTEL,116,2,124,0,1
180,1,HOTEL,119,1,25,0,1
181,1,HOTEL,105,2,27,0,1
182,1,HOTEL,90,1,62,1,0
183,1,HOTEL,93,1,56,0,0
184,1,HOTEL,90,1,54,0,0
185,1,UNKNOWN,94,4,22,0,0
186,2,HOTEL,93,1,183,1,0
187,1,HOTEL,90,1,112,1,0
188,1,HOTEL_RESORT,98,1,22,0,1
189,1,VILLA,93,5,30,0,1
190,4,HOTEL,143,2,35,0,0
191,1,HOTEL,94,1,34,0,0
192,1,HOTEL,91,1,183,1,0
193,1,HOTEL,94,1,66,1,1
194,1,HOTEL,96,2,74,1,1
195,1,APART_HOTEL,103,2,27,1,1
196,1,HOTEL,96,1,204,0,1
197,4,HOTEL,140,2,249,0,1
198,1,HOTEL,96,2,401,0,0
199,1,HOTEL,91,1,22,0,1
200,1,HOTEL,93,2,35,0,0
201,1,HOTEL,100,4,56,1,0
202,1,HOTEL,90,1,132,1,1
203,1,SUITE,137,3,25,0,1
204,2,APART_HOTEL,108,3,47,0,1
205,1,HOTEL,91,1,96,1,0
206,1,HOTEL,187,3,30,0,0
207,1,HOTEL,101,1,35,1,1
208,1,HOTEL,100,4,25,0,1
209,1,HOTEL,104,2,34,0,1
210,1,HOTEL,98,2,45,0,0
211,1,HOTEL,104,1,47,0,0
212,1,HOTEL,98,3,88,0,0
213,1,HOTEL,93,2,34,0,1
214,1,HOTEL,97,3,27,0,0
215,1,HOTEL,93,4,22,0,1
216,1,HOTEL,101,2,84,0,0
217,1,UNKNOWN,91,1,27,1,0
218,2,HOTEL,137,7,45,0,1
219,1,HOTEL,93,1,56,0,1
220,1,HOTEL,93,1,45,0,0
221,1,UNKNOWN,97,4,22,0,1
222,1,HOTEL,96,1,22,0,0
223,1,APART_HOTEL,93,1,79,1,1
224,1,HOTEL,109,3,146,1,0
225,1,HOTEL,91,1,25,1,0
226,1,HOTEL,127,5,50,0,1
227,4,HOTEL,256,3,54,1,0
228,2,HOTEL,98,1,22,0,1
229,1,HOTEL,126,6,96,1,0
230,1,HOTEL,93,1,124,0,1
231,1,HOTEL,91,1,25,0,0
232,1,HOTEL,119,3,42,0,1
233,1,HOTEL,96,1,54,0,0
234,1,APARTMENT,91,1,71,0,1
235,2,INN,115,2,35,1,1
236,1,HOTEL,112,1,35,0,0
237,1,HOTEL,121,4,66,1,1
238,1,UNKNOWN,123,1,22,0,0
239,1,HOTEL_RESORT,96,3,34,0,0
240,1,HOTEL,91,1,30,1,0
241,2,HOTEL,100,3,27,0,0
242,1,HOTEL,104,1,27,0,0
243,1,HOTEL,91,2,62,0,0
244,1,HOTEL,98,1,45,1,0
245,1,HOTEL,115,1,42,0,1
246,2,UNKNOWN,129,4,25,0,0
247,1,HOTEL,91,1,74,0,0
248,1,APARTMENT,97,2,54,1,1
249,3,HOTEL,122,2,161,1,1
250,1,HOTEL,93,1,204,0,0
251,1,HOTEL,97,1,30,0,0
252,1,HOTEL,91,1,42,0,0
253,2,HOTEL,2201,7,22,0,0
254,2,HOTEL,116,4,42,0,1
255,1,SUITE,118,5,27,1,0
256,1,HOTEL,147,2,45,0,1
257,1,APART_HOTEL,100,3,25,0,0
258,1,SUITE,94,3,34,0,1
259,1,HOTEL,100,6,27,0,1
260,1,HOTEL,96,1,74,0,0
261,1,HOTEL,107,3,56,1,0
262,1,HOTEL,33198,2,27,0,0
263,1,HOTEL,93,1,66,0,0
264,3,HOTEL,101,2,34,0,0
265,1,HOTEL,133,4,45,0,0
266,1,HOTEL,97,2,39,0,0
267,1,HOTEL,108,3,34,0,0
268,1,APART_HOTEL,94,3,34,0,0
269,1,HOTEL,91,1,47,1,0
270,3,HOTEL,195,8,22,0,0
271,1,HOTEL,91,2,22,0,0
272,2,HOTEL,122,3,47,0,0
273,1,HOTEL,94,2,27,0,0
274,3,HOTEL,239,4,27,0,1
275,1,HOTEL,100,3,25,0,0
276,1,HOTEL,114,2,45,0,0
277,1,HOTEL,97,1,96,1,1
278,1,HOTEL,93,3,34,0,1
279,1,APARTMENT,96,3,34,1,0
280,1,HOTEL,93,1,66,0,0
281,2,HOTEL,98,2,74,0,1
282,1,HOTEL,93,5,39,1,1
283,2,HOTEL,165,2,50,0,0
284,1,APART_HOTEL,98,2,108,1,0
285,1,HOTEL,137,3,59,0,0
286,1,HOTEL,139,5,47,0,0
287,1,HOTEL,111,5,45,1,0
288,1,HOTEL,96,1,50,0,0
289,1,HOTEL,101,3,22,0,1
290,1,HOTEL,118,25,183,1,0
291,1,HOTEL,91,1,71,0,1
292,1,HOTEL,96,3,71,1,1
293,1,APART_HOTEL,121,4,74,1,1
294,1,HOTEL,93,1,120,0,0
295,1,HOTEL,91,1,25,0,0
296,1,HOTEL,91,2,30,0,1
297,1,HOTEL,93,3,66,0,0
298,1,HOTEL,93,1,175,0,1
299,1,UNKNOWN,108,5,25,0,0
300,1,HOTEL,94,1,204,0,1
301,1,HOTEL,94,2,22,0,1
302,1,HOTEL,109,2,27,0,1
303,1,HOTEL,101,3,39,1,1
304,1,HOTEL,94,2,66,0,0
305,2,HOTEL,118,2,96,1,1
306,1,SUITE,121,7,39,0,0
307,1,HOTEL,98,2,45,0,1
308,1,HOTEL,126,2,47,0,1
309,1,HOTEL,94,1,76,0,0
310,1,HOTEL,94,4,22,0,1
311,1,HOTEL,101,3,220,0,1
312,1,VILLA,104,3,42,0,1
313,1,HOTEL,96,1,30,0,0
314,1,HOTEL,91,1,47,0,0
315,1,APART_HOTEL,94,2,62,0,0
316,1,HOTEL,119,3,96,0,0
317,1,HOTEL,114,3,146,0,1
318,1,HOTEL,94,1,47,0,0
319,3,VILLA,121,1,142,0,1
320,1,HOTEL,97,2,166,0,0
321,1,SUITE,90,1,39,1,1
322,1,HOTEL,94,2,88,0,0
323,2,HOTEL,101,1,161,1,0
324,1,HOTEL,109,5,34,0,0
325,1,HOTEL,101,3,34,0,0
326,1,HOTEL,91,1,137,0,1
327,2,HOTEL,109,3,27,0,1
328,1,HOTEL,90,1,22,0,0
329,1,HOTEL,91,1,25,0,0
330,1,HOTEL,108,3,27,0,1
331,1,HOTEL,90,1,35,1,0
332,1,HOTEL,96,3,22,0,0
333,1,HOTEL,109,6,22,0,0
334,1,HOTEL,107,3,25,0,0
335,1,SUITE,94,1,39,0,0
336,1,HOTEL,91,2,34,1,0
337,3,HOTEL,104,6,22,0,0
338,1,HOTEL,94,1,71,0,0
339,1,HOTEL,101,1,100,0,1
340,1,HOTEL,97,2,74,0,0
341,1,APART_HOTEL,94,1,39,1,0
342,1,HOTEL,96,1,35,1,1
343,1,HOTEL,97,3,34,0,0
344,2,HOTEL,98,1,103,0,1
345,1,HOTEL,90,1,71,0,1
346,1,APART_HOTEL,96,2,79,1,0
347,1,HOTEL,93,1,34,0,0
348,1,HOTEL,115,4,30,0,0
349,1,HOTEL,109,4,62,0,0
350,1,HOTEL,93,1,112,0,0
351,2,SUITE,100,2,25,0,1
352,1,HOTEL,91,1,137,0,0
353,2,HOTEL,136,4,204,0,1
354,2,HOTEL,98,1,27,1,1
355,1,HOTEL,100,3,54,1,0
356,1,HOTEL,97,14,25,0,0
357,1,APART_HOTEL,115,7,79,1,0
358,1,INN,97,4,22,0,0
359,1,HOTEL,93,1,100,0,0
360,2,HOTEL,111,10,25,0,1
361,1,HOTEL,105,3,35,0,1
362,1,HOTEL,90,1,54,0,1
363,1,HOTEL,104,2,27,0,0
364,1,HOTEL,133,4,30,0,0
365,1,UNKNOWN,108,2,25,0,0
366,1,HOTEL,96,4,22,0,0
367,1,ALL_INCLUSIVE,91,1,25,0,0
368,1,HOTEL,105,20,25,0,0
369,1,HOTEL,91,1,22,0,1
370,1,HOTEL,96,1,59,0,0
371,1,HOTEL,94,1,25,0,0
372,1,HOTEL,122,6,56,0,1
373,1,SUITE,94,2,62,0,0
374,1,HOTEL,90,1,22,0,0
375,1,APART_HOTEL,109,3,27,0,1
376,1,HOTEL,96,2,54,0,1
377,2,HOTEL,91,1,249,0,1
378,1,HOTEL,96,1,22,0,1
379,1,HOTEL,94,2,401,0,1
380,2,HOTEL,104,1,22,0,0
381,1,APARTMENT,94,1,22,1,0
382,1,HOTEL,104,4,220,0,1
383,1,VILLA,336,7,25,0,0
384,3,HOTEL,202,9,56,0,0
385,3,HOTEL,108,4,183,1,1
386,1,HOTEL,112,4,30,0,1
387,1,APARTMENT,121,4,34,0,0
388,1,SUITE,93,1,68,1,0
389,2,HOTEL,97,1,59,0,0
390,1,HOTEL,100,13,22,0,1
391,1,HOTEL,96,2,401,0,0
392,1,HOTEL,101,1,146,0,0
393,1,HOTEL,93,1,35,0,0
394,1,HOTEL,96,5,183,1,1
395,1,APARTMENT,98,4,45,0,0
396,1,APART_HOTEL,123,4,74,1,0
397,1,HOTEL,105,2,74,0,0
398,3,APART_HOTEL,223,8,25,0,0
399,1,HOTEL,100,3,112,0,1
400,1,HOTEL,101,2,56,0,0
401,1,HOTEL,91,3,25,0,0
402,1,HOTEL,91,2,22,0,0
403,1,UNKNOWN,94,1,27,0,0
404,1,HOTEL,90,1,35,1,0
405,1,HOTEL,93,1,93,0,0
406,1,HOTEL,96,2,45,1,1
407,1,HOTEL,96,2,66,0,1
408,1,HOTEL,97,3,62,1,0
409,1,HOTEL,111,5,47,0,1
410,1,HOTEL,94,3,68,0,0
411,1,HOTEL,98,1,120,0,0
412,1,HOTEL,98,2,96,1,0
413,1,HOTEL,91,1,183,1,0
414,1,HOTEL,133,9,146,1,1
415,1,HOTEL,98,2,35,0,0
416,5,HOTEL,136,3,76,0,0
417,2,UNKNOWN,108,2,22,0,1
418,1,HOTEL,101,1,62,0,1
419,1,HOTEL,107,4,34,0,1
420,1,HOTEL,90,1,112,1,0
421,2,HOTEL,97,3,183,1,0
422,1,HOTEL,91,5,27,0,1
423,1,HOTEL,104,4,66,0,1
424,2,HOTEL,104,2,22,0,1
425,1,APART_HOTEL,163,4,25,0,1
426,2,HOTEL,119,2,146,0,1
427,3,SUITE,91,1,59,1,1
428,2,HOTEL,112,2,204,0,1
429,1,APART_HOTEL,93,1,47,0,1
430,1,APART_HOTEL,122,5,30,0,0
431,1,HOTEL,111,3,42,0,0
432,1,UNKNOWN,137,1,30,0,1
433,1,HOTEL_RESORT,111,1,45,0,1
434,1,UNKNOWN,147,14,39,0,0
435,1,HOTEL,118,2,151,0,1
436,1,HOTEL,98,6,25,0,1
437,3,APART_HOTEL,123,2,113,1,0
438,1,HOTEL_RESORT,98,1,45,0,0
439,1,APARTMENT,91,5,25,0,0
440,1,HOTEL,97,1,76,0,0
441,1,HOTEL,91,1,22,0,0
442,1,HOTEL,91,1,183,1,0
443,1,HOTEL,94,2,39,0,0
444,1,HOTEL,98,1,42,0,0
445,1,HOTEL,90,1,47,1,0
446,1,APART_HOTEL,94,1,35,0,0
447,2,HOTEL,100,2,183,1,0
448,1,HOTEL,98,1,42,0,1
449,1,HOTEL,96,1,204,0,0
450,2,HOTEL,169,3,166,0,1
451,1,APART_HOTEL,183,7,74,1,1
452,2,HOTEL,93,2,47,0,0
453,1,UNKNOWN,93,1,35,0,0
454,2,HOTEL,145,4,22,0,1
455,1,HOTEL,96,1,56,0,0
456,2,HOTEL,100,1,27,1,0
457,2,HOTEL,98,1,249,0,0
458,1,HOTEL,94,1,74,0,1
459,1,HOTEL,105,1,25,0,0
460,1,HOTEL,90,1,30,0,0
461,1,UNKNOWN,93,1,27,0,0
462,1,HOTEL,94,1,22,0,1
463,1,HOTEL,101,2,108,0,0
464,1,HOTEL,104,2,54,0,0
465,1,HOTEL_RESORT,98,4,25,0,1
466,5,HOTEL_RESORT,104,2,25,0,0
467,2,HOTEL,94,1,74,0,0
468,1,HOTEL,96,1,39,0,1
469,1,APART_HOTEL,91,2,22,0,0
470,1,APART_HOTEL,109,4,35,0,0
471,9,HOTEL,141,2,401,0,0
472,1,HOTEL,96,10,34,1,1
473,2,HOTEL,129,6,175,0,1
474,1,HOTEL,111,3,47,0,1
475,2,HOTEL_RESORT,94,3,25,0,0
476,1,HOTEL,109,9,74,0,1
477,1,HOTEL,133,3,56,0,1
478,2,APARTMENT,96,4,27,0,1
479,1,APART_HOTEL,116,3,62,0,0
480,1,HOTEL,91,1,30,0,0
481,1,HOTEL_RESORT,165,4,25,0,1
482,1,HOTEL,91,2,30,0,1
483,1,HOTEL,93,1,22,0,1
484,1,HOTEL_RESORT,96,2,112,0,1
485,1,HOTEL,97,2,42,0,0
486,1,APARTMENT,97,2,54,1,1
487,2,HOTEL,119,3,124,0,1
488,1,UNKNOWN,100,3,35,0,0
489,2,HOTEL,150,3,146,0,1
490,1,HOTEL,90,1,39,0,0
491,1,HOTEL,104,2,62,0,1
492,1,HOTEL,100,2,45,0,0
493,1,HOTEL,98,9,25,0,1
494,1,APART_HOTEL,97,2,39,1,0
495,1,APART_HOTEL,94,5,27,0,0
496,1,HOTEL,91,1,103,1,1
497,5,APART_HOTEL,132,3,108,1,0
498,1,APARTMENT,91,1,22,0,1
499,1,HOTEL,94,1,56,0,0
500,2,HOTEL_RESORT,91,1,112,0,0
501,1,HOTEL_RESORT,93,2,249,0,0
502,1,APART_HOTEL,91,1,74,1,0
503,2,HOTEL,104,1,34,0,1
504,1,SUITE,94,20,42,1,1
505,1,HOTEL,94,1,76,0,0
506,1,HOTEL,98,7,39,0,0
507,1,HOTEL,126,2,34,0,1
508,1,HOTEL,91,1,25,0,0
509,1,HOTEL,91,2,35,0,0
510,1,HOTEL,151,9,50,0,1
511,2,HOTEL,91,1,30,0,0
512,1,HOTEL,96,1,112,0,0
513,1,APARTMENT,94,1,54,1,0
514,1,HOTEL,94,1,76,0,0
515,1,APART_HOTEL,94,1,71,1,0
516,1,HOTEL,177,11,30,0,1
517,1,APARTMENT,96,1,54,1,0
518,3,HOTEL,96,4,56,1,1
519,1,APARTMENT,148,10,22,0,0
520,1,HOTEL,93,1,45,0,1
521,1,HOTEL,98,8,22,0,0
522,1,HOTEL,109,1,22,0,1
523,0,HOTEL,93,2,183,1,0
524,1,HOTEL,103,2,30,0,0
525,1,HOTEL,97,1,22,0,1
526,1,HOTEL,90,1,25,0,0
527,2,HOTEL,126,4,220,0,0
528,1,HOTEL,97,1,27,0,0
529,1,HOTEL,97,1,34,1,0
530,1,HOTEL,94,5,59,1,1
531,1,HOTEL,91,1,62,0,1
532,1,APARTMENT,91,2,39,1,1
533,3,HOTEL,123,3,22,0,1
534,1,HOTEL,93,1,137,0,0
535,1,HOTEL,93,1,66,0,1
536,2,HOTEL,98,3,42,0,0
537,1,HOTEL,103,3,96,1,1
538,1,HOTEL,144,3,45,0,0
539,1,APARTMENT,119,3,27,0,0
540,1,HOTEL,91,2,62,0,1
541,1,HOTEL,91,1,39,0,1
542,1,HOTEL_RESORT,112,2,178,1,0
543,1,HOTEL,94,6,34,1,0
544,1,HOTEL_RESORT,94,1,35,0,0
545,1,HOTEL,162,15,25,1,1
546,1,APART_HOTEL,96,1,113,1,0
547,1,HOTEL,98,2,62,0,1
548,2,HOTEL,116,1,62,0,0
549,1,HOTEL,112,7,45,0,0
550,1,HOTEL,111,2,124,0,0
551,1,HOTEL,121,3,27,0,0
552,1,HOTEL,100,3,84,0,1
553,1,UNKNOWN,91,1,27,1,0
554,1,HOTEL,91,2,25,0,1
555,2,HOTEL,100,1,42,0,0
556,1,HOTEL,96,1,27,0,0
557,1,APARTMENT,97,2,22,0,1
558,1,HOTEL,93,1,74,0,1
559,1,HOTEL,91,1,30,0,1
560,1,HOTEL,93,1,79,1,0
561,1,HOTEL,94,6,35,0,1
562,2,HOTEL,104,3,124,0,1
563,1,INN,97,1,25,1,0
564,1,HOTEL,91,2,45,0,1
565,1,HOTEL,96,1,25,0,0
566,2,HOTEL,112,4,35,0,0
567,2,HOTEL,94,1,42,0,0
568,2,HOTEL,121,7,103,1,0
569,1,SUITE,90,1,59,1,0
570,1,HOTEL,91,6,22,0,0
571,1,HOTEL,115,1,25,0,0
572,2,HOTEL,90,1,50,0,1
573,1,UNKNOWN,109,1,35,0,0
574,1,HOTEL,96,3,30,0,0
575,1,HOTEL,100,3,35,0,0
576,1,HOTEL,96,2,30,0,0
577,1,HOTEL,94,1,100,0,0
578,1,HOTEL,103,1,71,0,0
579,1,HOTEL,90,1,22,0,1
580,4,HOTEL,103,5,113,1,1
581,1,HOTEL,107,3,220,0,1
582,1,HOTEL,114,11,25,0,1
583,1,HOTEL,91,1,47,0,1
584,2,HOTEL,104,1,39,1,1
585,1,HOTEL,94,4,25,0,0
586,2,HOTEL,97,1,66,0,1
587,1,HOTEL,97,2,42,0,0
588,1,HOTEL,101,2,161,1,0
589,1,HOTEL,98,1,151,0,0
590,1,HOTEL,96,3,50,0,1
591,1,HOTEL,91,1,62,0,1
592,1,HOTEL,235,28,30,0,1
593,1,APART_HOTEL,91,1,74,1,0
594,2,HOTEL,98,2,45,1,1
595,1,HOTEL,101,1,146,0,0
596,1,HOTEL,108,2,71,0,0
597,2,UNKNOWN,96,1,88,0,0
598,2,HOTEL,144,3,27,1,0
599,1,HOTEL,90,1,47,1,1
600,1,HOTEL,107,2,47,0,0
601,1,HOTEL,97,1,62,0,0
602,1,HOTEL,91,1,137,0,0
603,1,HOTEL,104,3,59,0,0
604,1,HOTEL,103,2,34,0,1
605,1,HOTEL,121,2,27,0,0
606,1,HOTEL,97,9,22,0,1
607,1,HOTEL,91,1,47,1,0
608,2,HOTEL,97,1,45,0,0
609,1,APART_HOTEL,112,1,22,0,0
610,1,HOTEL,90,3,35,1,1
611,1,HOTEL,101,1,27,0,0
612,1,HOTEL,98,1,62,0,0
613,1,APART_HOTEL,97,2,59,0,1
614,1,HOTEL,100,4,22,0,1
615,1,UNKNOWN,90,2,27,0,0
616,1,SUITE,94,1,39,0,0
617,1,UNKNOWN,90,1,22,0,1
618,1,HOTEL,112,3,22,0,1
619,1,HOTEL,93,3,30,0,0
620,1,HOTEL,91,1,71,1,0
621,1,HOTEL,96,3,22,0,0
622,1,HOTEL,94,1,45,1,0
623,1,APART_HOTEL,107,3,35,0,0
624,1,HOTEL,108,3,35,0,1
625,1,HOTEL_RESORT,91,1,108,0,1
626,1,APARTMENT,101,1,103,0,0
627,1,HOTEL_RESORT,111,5,22,0,1
628,2,HOTEL,97,1,34,0,0
629,1,HOTEL,108,2,30,0,0
630,1,HOTEL,94,7,22,0,1
631,8,HOTEL,119,4,22,0,0
632,1,HOTEL,93,2,35,0,0
633,2,HOTEL,119,4,25,0,1
634,1,HOTEL,94,1,76,0,0
635,1,HOTEL,123,6,50,0,1
636,1,HOTEL_RESORT,118,2,50,0,0
637,1,APARTMENT,91,1,71,0,1
638,1,HOTEL,91,2,22,0,0
639,1,HOTEL,114,9,22,0,0
640,1,APARTMENT,108,6,25,0,0
641,2,APARTMENT,97,5,84,1,1
642,1,HOTEL,114,2,108,0,0
643,1,UNKNOWN,90,1,27,0,1
644,1,HOTEL,93,1,74,1,0
645,2,HOTEL,101,3,34,0,1
646,1,UNKNOWN,97,3,27,0,0
647,1,APARTMENT,101,1,34,0,1
648,1,APART_HOTEL,127,7,39,1,0
649,3,HOTEL,244,16,22,0,0
650,1,HOTEL,100,3,42,0,0
651,1,HOTEL,123,4,22,0,1
652,1,HOTEL,90,1,25,0,0
653,1,HOTEL,91,1,25,0,0
654,1,HOTEL_RESORT,101,5,22,0,0
655,1,HOTEL,93,1,66,1,0
656,1,HOTEL,130,3,34,0,1
657,1,HOTEL,93,1,74,0,0
658,1,APART_HOTEL,125,6,35,0,0
659,1,HOTEL,107,2,39,0,0
660,1,HOTEL,107,4,108,0,0
661,1,HOTEL,91,2,66,0,0
662,1,HOTEL,91,2,56,0,0
663,1,HOTEL,96,6,22,1,1
664,2,ALL_INCLUSIVE,111,7,22,0,0
665,1,HOTEL,100,4,27,0,1
666,1,HOTEL,91,1,22,0,1
667,3,HOTEL,91,2,83,0,1
668,1,HOTEL,91,1,76,0,0
669,1,HOTEL,130,5,47,0,1
670,1,HOTEL,91,1,79,0,0
671,1,HOTEL,93,4,27,0,0
672,2,HOTEL,94,1,124,0,1
673,1,APART_HOTEL,101,3,39,1,0
674,1,HOTEL,96,1,204,0,1
675,3,HOTEL,97,1,401,0,0
676,1,HOTEL,121,5,25,0,0
677,1,HOTEL,91,1,45,0,0
678,1,HOTEL,101,1,42,0,0
